Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-03 12:00:00+00:00,680.3102011,23270.85239,405.0121227,11107.67547,94455.6775,219152.6174,4533.627414,22.75214271,635688.5048,284662.3109,152022.9906,6683.292359,6359.33794,45029.09152,1386827.76,137854.2332,48571.01652,680.3102011,23675.86451,1459717.878,1573253.01,247158.8002,5457.863687,252616.6638,3309943.748,3.9
2018-01-03 13:00:00+00:00,739.4956647,23376.52631,1043.271995,11826.07448,0.0,234886.0696,4889.206939,27.21676313,642341.2647,313736.6013,215243.5737,6793.270955,6326.775175,70871.09245,1435684.903,193992.8075,71636.17592,739.4956647,24419.79831,1506941.146,1701313.886,251318.8983,7715.847725,259034.746,3492449.094,1.9
2018-01-03 14:00:00+00:00,831.2344673,22926.32539,1578.714122,14171.07596,0.0,245527.4593,5180.431693,31.64190541,570664.3715,345221.2053,273507.3498,6837.259775,6334.002069,95619.75242,1325286.947,206674.5712,87261.97827,831.2344673,24505.03951,1563094.55,1619223.496,226524.5757,10096.33534,236620.9111,3444275.254,9.0
2018-01-03 15:00:00+00:00,864.6650228,19058.48814,1978.380919,17096.62571,0.0,254138.4631,5383.873948,42.36946877,468038.6332,373235.951,304665.287,7062.366011,6351.966438,109688.2967,1143705.509,239743.3716,98659.0983,864.6650228,21036.86906,1545703.833,1482107.978,200234.339,11336.01038,211570.3494,3261283.717,14.0
2018-01-03 16:00:00+00:00,931.3600731,18363.31594,2259.850201,18796.81329,0.0,261772.2441,5556.593055,52.55777183,405053.7058,389051.0901,317175.459,7136.055507,6387.03547,116534.321,1038975.532,301204.5191,103519.5606,931.3600731,20623.16614,1527515.875,1443699.611,182959.5544,12075.51968,195035.0741,3187805.109,18.0
2018-01-03 18:00:00+00:00,1007.572287,15095.93309,2291.076751,20300.21455,0.0,263408.9326,5687.050909,54.2236144,285916.3533,393405.8517,315928.6236,7175.358633,6395.740633,114175.91,811281.924,269940.0219,101786.076,1007.572287,17387.00984,1412448.26,1183008.022,144053.8834,11773.1213,155827.0047,2769677.889,23.0
2018-01-03 19:00:00+00:00,1093.122944,14336.64676,2181.431569,20340.34166,0.0,260635.3216,5644.174419,53.11605066,258356.5979,379827.6002,301586.0874,7135.80314,6379.469072,109155.9272,757552.038,213675.6489,99595.01924,1093.122944,16518.07832,1349114.439,1070822.706,133615.5103,11392.4972,145008.0075,2582556.373,25.0
2018-01-03 20:00:00+00:00,1008.630838,13341.684,2122.886966,19394.91434,0.0,252141.0236,5426.536691,48.25913153,233752.7344,357732.6302,278429.8851,7082.327674,6364.506526,103982.7817,702829.4865,198912.1796,97898.66648,1008.630838,15464.57096,1264355.599,999640.3326,120661.423,10984.78979,131646.2128,2412115.365,26.1
2018-01-03 21:00:00+00:00,904.1372624,13020.25808,2105.962759,17396.72396,0.0,239469.2187,5196.892564,40.74558727,233706.8589,345320.9834,257279.25,7019.433432,6370.236548,97842.17439,682129.8454,257961.0606,95579.04605,904.1372624,15126.22084,1209642.517,1035669.952,122810.7727,10759.36951,133570.1422,2394912.988,24.1
2018-01-03 22:00:00+00:00,840.4659979,13361.07567,2022.244775,14506.72726,78110.44973,223135.2337,4674.825272,31.77717087,251022.5724,335610.5403,237737.8795,6798.081686,6391.647719,88811.32798,708141.5253,305500.4962,92754.20545,840.4659979,15383.32045,1246831.063,1106396.227,128067.9232,10152.76867,138220.6919,2507671.786,23.0
